nr;modelname;test_acc
33;vgg11_bn_250epochs_2020-01-17_23-29-33-058071_epoch30;0.7225
34;resnet26_250epochs_2020-01-17_18-44-46-448201_epoch20;0.7273
35;wrn10_250epochs_2020-01-17_15-18-37-380464_epoch20;0.7338
36;vgg11_250epochs_2020-01-17_23-29-32-881027_epoch10;0.7368
37;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch80;0.7411
38;resnet20_250epochs_2020-01-17_17-08-52-749815_epoch120;0.746
39;preresnet14_250epochs_2020-01-17_15-58-51-426585_epoch10;0.7508
40;resnet14_250epochs_2020-01-17_15-58-51-305319_epoch150;0.7542
41;wrn16_250epochs_2020-01-17_15-58-51-464178_epoch50;0.7591
42;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch200;0.7622
43;preresnet14_250epochs_2020-01-17_15-58-51-426585_epoch110;0.7686
44;vgg19_bn_250epochs_2020-01-18_00-18-21-326666_epoch100;0.7726
45;resnet8_250epochs_2020-01-17_15-18-37-416966_epoch70;0.7748
46;wrn10_250epochs_2020-01-17_15-18-37-380464_epoch130;0.7785
47;vgg13_bn_250epochs_2020-01-18_00-18-20-958373_epoch120;0.7845
48;preresnet32_250epochs_2020-01-17_20-49-30-479012_epoch90;0.7904
49;vgg11_bn_250epochs_2020-01-17_23-29-33-058071_epoch120;0.7916
50;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch160;0.7972
51;wrn10_250epochs_2020-01-17_15-18-37-380464_epoch150;0.7998
52;wrn10_250epochs_2020-01-17_15-18-37-380464_epoch70;0.8048
53;vgg13_250epochs_2020-01-17_23-29-33-140292_epoch30;0.8109
54;vgg11_250epochs_2020-01-17_23-29-32-881027_epoch120;0.8145
55;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch240;0.8209
56;preresnet32_250epochs_2020-01-17_20-49-30-479012_epoch70;0.8214
57;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch200;0.8274
58;resnet32_250epochs_2020-01-17_20-49-30-284998_epoch50;0.8301
59;wrn34_250epochs_2020-01-17_20-49-30-708094_epoch110;0.8383
60;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch170;0.8409
61;resnet8_250epochs_2020-01-17_15-18-37-416966_epoch170;0.8439
62;wrn28_250epochs_2020-01-17_18-44-46-258917_epoch140;0.8479
63;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch160;0.8537
64;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch180;0.8565
65;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch160;0.8635
66;wrn34_250epochs_2020-01-17_20-49-30-708094_epoch120;0.8653
67;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch250;0.87
68;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch240;0.872
69;resnet8_250epochs_2020-01-17_15-18-37-416966_epoch250;0.874
70;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch250;0.8767
71;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch240;0.879
72;resnet26_250epochs_2020-01-17_18-44-46-448201_epoch210;0.8801
73;preresnet14_250epochs_2020-01-17_15-58-51-426585_epoch190;0.8827
74;resnet14_250epochs_2020-01-17_15-58-51-305319_epoch180;0.8834
75;resnet20_250epochs_2020-01-17_17-08-52-749815_epoch200;0.8862
76;preresnet14_250epochs_2020-01-17_15-58-51-426585_epoch220;0.8886
77;vgg13_bn_250epochs_2020-01-18_00-18-20-958373_epoch220;0.9051
78;vgg11_250epochs_2020-01-17_23-29-32-881027_epoch250;0.9143
79;vgg13_bn_250epochs_2020-01-18_00-18-20-958373_epoch210;0.9185
