nr;modelname;test_acc
0;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch80;0.5517
1;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch20;0.5589
2;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch10;0.5643
3;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch60;0.5703
4;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch50;0.5768
5;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch40;0.582
6;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch110;0.5914
7;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch80;0.6039
8;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch90;0.6083
9;alexnet_250epochs_2020-01-17_23-29-32-952011_epoch90;0.6129
10;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch20;0.6183
11;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch30;0.6244
12;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch120;0.6305
13;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch20;0.635
14;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch10;0.6379
15;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch70;0.6438
16;densenet10_250epochs_2020-01-17_15-58-51-413114_epoch150;0.6453
17;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch90;0.6502
18;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch50;0.6551
19;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch60;0.6583
20;densenet16_250epochs_2020-01-17_18-44-46-236564_epoch20;0.6628
21;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch100;0.6684
22;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch70;0.6725
23;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch150;0.6779
24;preresnet26_250epochs_2020-01-17_18-44-46-275928_epoch10;0.6831
25;densenet13_250epochs_2020-01-17_17-08-52-849077_epoch30;0.6874
26;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch140;0.6882
27;densenet19_250epochs_2020-01-17_20-49-30-563268_epoch120;0.6932
28;preresnet32_250epochs_2020-01-17_20-49-30-479012_epoch40;0.6967
29;resnet8_250epochs_2020-01-17_15-18-37-416966_epoch130;0.7018
30;wrn10_250epochs_2020-01-17_15-18-37-380464_epoch120;0.7073
31;preresnet8_250epochs_2020-01-17_15-18-37-116638_epoch30;0.7175
32;wrn34_250epochs_2020-01-17_20-49-30-708094_epoch10;0.7213
